name,apirest_id,original_id,latitude,longitude
Luca,900000000000000000103,UNDEFINED,-32.536652,-63.4728955833333
Luque,900000000000000000104,DEM_LUQUE13,-31.6407583611111,-63.3470284166667
Malvinas Argentinas,900000000000000000105,UNDEFINED,-31.3402939722222,-63.9130442222222
Maranzana,900000000000000000106,UNDEFINED,-33.1607483611111,-64.36606425
Marcos Juarez,900000000000000000107,DEM_MJUARE13,-32.7054751111111,-62.1137046111111
Mario Seveso,900000000000000000108,UNDEFINED,-31.4224683611111,-63.0389516111111
Mendiolaza 132,900000000000000000109,DEM_MENDIO132,-31.2646795277778,-64.2712133611111
General Cabrera,900000000000000000073,DEM_CABRER132,-32.7973317222222,-63.8536687222222
Villa Maria Norte 13KV,900000000000000000159,DEM_VMARIN13,-32.3790626111111,-63.23920225
UPC HTA  AgriculturaCba,100000000000000030538,30538,-31.370541,-64.254818
Reducción AgriculturaCba,100000000000000030405,30405,-33.20438,-63.866066
APRHi - Canal 7 M.I. El Brete,100000000000000030178,30178,-30.664828,-64.878939
Los Chañaritos AgriculturaCba,100000000000000030558,30558,-30.57397,-64.95086
APRHI - Tuclame,100000000000000030181,30181,-30.741254,-65.242453
RMA1_BAL - Bosque Alegre,400000000000000000094,94,-31.5975,-64.5502777777778
APRHi - Dique El Cajon,100000000000000030223,30223,-30.853375,-64.550332
APRHi - Los Hornillos,100000000000000030236,30236,-31.163477,-64.366722
APRHi - Canal 8 M.I. El Brete,100000000000000030177,30177,-30.665128,-64.878639
APRHi - Laguna Mar Chiquita,100000000000000030217,30217,-30.902735,-62.671356
Huerta Grande AgriculturaCba,100000000000000030267,30267,-31.0715,-64.4874
APRHi - Dique Cruz del Eje,100000000000000030299,30299,-30.770752,-64.757715
Puesto Pereyra (Los Gigantes),200000000000000000200,200,-31.44888,-64.80887
APRHi - Río Los Espinillos - Golpe de Agua,100000000000000070009,70009,-31.839365,-64.603264
Observatorio Bosque Alegre,200000000000000002300,2300,-31.59833,-64.54969
